,申请年,受理局,处理后的IPC主分类号,申请数量
1,2013,世界知识产权组织,A47L1,2
2,2013,世界知识产权组织,B60F5,1
3,2013,世界知识产权组织,B60K6,1
4,2013,世界知识产权组织,B64C1,3
5,2013,世界知识产权组织,B64C19,1
6,2013,世界知识产权组织,B64C25,4
7,2013,世界知识产权组织,B64C27,2
8,2013,世界知识产权组织,B64C29,3
9,2013,世界知识产权组织,B64C31,1
10,2013,世界知识产权组织,B64C39,1
11,2013,世界知识产权组织,B64D15,3
12,2013,世界知识产权组织,B64D27,5
13,2013,世界知识产权组织,B64D3,1
14,2013,世界知识产权组织,B64D31,1
15,2013,世界知识产权组织,B64D41,4
16,2013,世界知识产权组织,B64F5,1
17,2013,世界知识产权组织,F02C3,1
18,2013,世界知识产权组织,F02C7,1
19,2013,世界知识产权组织,F02K1,1
20,2013,世界知识产权组织,F03B3,2
21,2013,世界知识产权组织,F03G3,1
22,2013,世界知识产权组织,G01C21,1
23,2013,世界知识产权组织,G06K19,1
24,2013,世界知识产权组织,H02J3,1
25,2013,世界知识产权组织,H02J7,1
26,2013,世界知识产权组织,H02K5,1
27,2013,世界知识产权组织,H04B3,1
28,2013,中国,A47B21,1
29,2013,中国,A62C3,3
30,2013,中国,A63H27,4
31,2013,中国,A63H33,1
32,2013,中国,B01J23,1
33,2013,中国,B21J5,1
34,2013,中国,B23H5,2
35,2013,中国,B29C70,1
36,2013,中国,B60L7,2
37,2013,中国,B60T13,1
38,2013,中国,B60T8,4
39,2013,中国,B62K1,1
40,2013,中国,B63C9,1
41,2013,中国,B63H1,1
42,2013,中国,B64B1,4
43,2013,中国,B64C1,4
44,2013,中国,B64C13,4
45,2013,中国,B64C21,1
46,2013,中国,B64C25,13
47,2013,中国,B64C27,5
48,2013,中国,B64C29,1
49,2013,中国,B64C3,1
50,2013,中国,B64C31,2
51,2013,中国,B64C39,3
52,2013,中国,B64D11,5
53,2013,中国,B64D13,1
54,2013,中国,B64D15,5
55,2013,中国,B64D27,9
56,2013,中国,B64D31,2
57,2013,中国,B64D33,1
58,2013,中国,B64D37,1
59,2013,中国,B64D41,5
60,2013,中国,B64D45,1
61,2013,中国,B64D47,3
62,2013,中国,B64F1,4
63,2013,中国,B64F5,10
64,2013,中国,B64G1,4
65,2013,中国,B64G7,1
66,2013,中国,B65G57,2
67,2013,中国,B66F3,1
68,2013,中国,F01K27,1
69,2013,中国,F02C7,3
70,2013,中国,F02K1,1
71,2013,中国,F02N15,1
72,2013,中国,F04D29,1
73,2013,中国,F15B21,1
74,2013,中国,F15D1,1
75,2013,中国,F16D13,3
76,2013,中国,F16J15,1
77,2013,中国,F16L3,1
78,2013,中国,F21S43,1
79,2013,中国,F21S8,2
80,2013,中国,F25B1,2
81,2013,中国,F41A31,1
82,2013,中国,F41F1,1
83,2013,中国,F42B19,1
84,2013,中国,G01B7,1
85,2013,中国,G01D21,1
86,2013,中国,G01L5,1
87,2013,中国,G01M13,3
88,2013,中国,G01M9,2
89,2013,中国,G01N1,2
90,2013,中国,G01N25,2
91,2013,中国,G01N31,2
92,2013,中国,G01R29,2
93,2013,中国,G01R31,9
94,2013,中国,G01S7,2
95,2013,中国,G03B17,1
96,2013,中国,G05B17,2
97,2013,中国,G05B19,7
98,2013,中国,G05B23,2
99,2013,中国,G05D1,3
100,2013,中国,G05D3,2
101,2013,中国,G06F17,1
102,2013,中国,G08B17,1
103,2013,中国,G08B21,1
104,2013,中国,G09B25,1
105,2013,中国,H01B1,1
106,2013,中国,H01B7,2
107,2013,中国,H01H3,2
108,2013,中国,H01L41,2
109,2013,中国,H01M2,1
110,2013,中国,H01M8,1
111,2013,中国,H01Q1,2
112,2013,中国,H01R13,1
113,2013,中国,H02G1,4
114,2013,中国,H02G11,1
115,2013,中国,H02H3,1
116,2013,中国,H02H9,1
117,2013,中国,H02J3,1
118,2013,中国,H02J7,9
119,2013,中国,H02K53,1
120,2013,中国,H02K9,1
121,2013,中国,H02M3,2
122,2013,中国,H02P9,6
123,2013,中国,H04L12,1
124,2013,中国,H04N5,1
125,2013,中国,H05B3,1
126,2013,中国,H05K5,1
127,2013,中国,H05K7,1
128,2013,中国香港,B64C,2
129,2013,乌克兰,B32B7,1
130,2013,乌克兰,B64C27,1
131,2013,乌克兰,B64C3,1
132,2013,乌克兰,F01D15,1
133,2013,乌克兰,F02K1,1
134,2013,乌克兰,F03D9,1
135,2013,乌克兰,F24H6,1
136,2013,以色列,B64D15,4
137,2013,俄罗斯,B61B13,1
138,2013,俄罗斯,B64C1,1
139,2013,俄罗斯,B64C11,1
140,2013,俄罗斯,B64C13,1
141,2013,俄罗斯,B64C25,2
142,2013,俄罗斯,B64C27,6
143,2013,俄罗斯,B64C31,1
144,2013,俄罗斯,B64C39,2
145,2013,俄罗斯,B64D1,1
146,2013,俄罗斯,B64D17,3
147,2013,俄罗斯,B64D25,1
148,2013,俄罗斯,B64D27,4
149,2013,俄罗斯,B64D37,1
150,2013,俄罗斯,B64D41,2
151,2013,俄罗斯,B64G1,7
152,2013,俄罗斯,B67D7,1
153,2013,俄罗斯,C09D5,1
154,2013,俄罗斯,C25F1,2
155,2013,俄罗斯,F01K17,2
156,2013,俄罗斯,F02C7,2
157,2013,俄罗斯,F02K1,1
158,2013,俄罗斯,F02K7,3
159,2013,俄罗斯,F03D1,1
160,2013,俄罗斯,F03D3,1
161,2013,俄罗斯,F03H1,1
162,2013,俄罗斯,F15B15,2
163,2013,俄罗斯,F16B33,1
164,2013,俄罗斯,F41F3,1
165,2013,俄罗斯,F41H1,1
166,2013,俄罗斯,F42B12,3
167,2013,俄罗斯,F42C15,2
168,2013,俄罗斯,G01M3,1
169,2013,俄罗斯,G01M5,1
170,2013,俄罗斯,G01M9,4
171,2013,俄罗斯,G01S11,1
172,2013,俄罗斯,G01S3,1
173,2013,俄罗斯,G01W1,2
174,2013,俄罗斯,G06G7,1
175,2013,俄罗斯,G09B9,1
176,2013,俄罗斯,H01Q17,1
177,2013,俄罗斯,H02G3,1
178,2013,加拿大,B64C1,2
179,2013,加拿大,B64C25,8
180,2013,加拿大,B64C27,2
181,2013,加拿大,B64D15,4
182,2013,加拿大,B64D31,1
183,2013,加拿大,B64D35,3
184,2013,加拿大,B64D41,5
185,2013,加拿大,B64D47,1
186,2013,加拿大,F02C7,2
187,2013,加拿大,F02K1,1
188,2013,加拿大,F16H25,1
189,2013,加拿大,G05F5,2
190,2013,加拿大,H01R24,1
191,2013,加拿大,H02J3,8
192,2013,加拿大,H03K19,1
193,2013,加拿大,H05B3,2
194,2013,印度,E01B25,1
195,2013,印度,E21B19,1
196,2013,印度,F01D15,2
197,2013,印度,F02C7,3
198,2013,印度,F16H,1
199,2013,印度,G01W1,1
200,2013,印度,G06F,1
201,2013,印度,G06F15,1
202,2013,哈萨克斯坦,B64C27,1
203,2013,土耳其,B60L1,1
204,2013,土耳其,B60L11,1
205,2013,墨西哥,B05C5,1
206,2013,奥地利,B05D1,1
207,2013,奥地利,B32B15,1
208,2013,奥地利,B60K6,1
209,2013,奥地利,B60N2,1
210,2013,奥地利,B60T13,1
211,2013,奥地利,B60T8,1
212,2013,奥地利,B64C19,1
213,2013,奥地利,B64C25,3
214,2013,奥地利,B64C27,2
215,2013,奥地利,B64C31,3
216,2013,奥地利,B64C9,1
217,2013,奥地利,B64D15,4
218,2013,奥地利,B64D27,2
219,2013,奥地利,B64D31,3
220,2013,奥地利,B64D41,3
221,2013,奥地利,F02C7,1
222,2013,奥地利,F02C9,1
223,2013,奥地利,F02K3,1
224,2013,奥地利,F21V29,1
225,2013,奥地利,G01R27,1
226,2013,奥地利,G08G5,1
227,2013,奥地利,H02J7,1
228,2013,奥地利,H02K7,1
229,2013,奥地利,H02M7,2
230,2013,奥地利,H02N3,1
231,2013,奥地利,H04B3,1
232,2013,巴西,B60T13,1
233,2013,巴西,B64C1,2
234,2013,巴西,B64C19,3
235,2013,巴西,B64C25,4
236,2013,巴西,B64C27,1
237,2013,巴西,B64C29,2
238,2013,巴西,B64C3,1
239,2013,巴西,B64D13,2
240,2013,巴西,B64D15,2
241,2013,巴西,B64D41,3
242,2013,巴西,F02K1,1
243,2013,巴西,F02N9,2
244,2013,巴西,F16D121,1
245,2013,巴西,G06F17,1
246,2013,巴西,H02B1,2
247,2013,巴西,H02K44,1
248,2013,德国,A63H27,1
249,2013,德国,B05D1,1
250,2013,德国,B64C19,1
251,2013,德国,B64C25,4
252,2013,德国,B64C27,1
253,2013,德国,B64C31,1
254,2013,德国,B64D11,1
255,2013,德国,B64D15,2
256,2013,德国,B64D27,7
257,2013,德国,B64F1,1
258,2013,德国,E05F15,1
259,2013,德国,F02C7,1
260,2013,德国,F16D66,1
261,2013,德国,G08G5,1
262,2013,德国,H02K1,1
263,2013,德国,H02K5,1
264,2013,德国,H02K7,2
266,2013,斯洛文尼亚,B64C31,1
267,2013,斯洛文尼亚,B64D27,1
268,2013,斯洛文尼亚,H02K9,1
269,2013,新西兰,H02K1,2
270,2013,日本,A62B7,2
271,2013,日本,B60L15,1
272,2013,日本,B60T13,2
273,2013,日本,B60T17,2
274,2013,日本,B60T8,2
275,2013,日本,B64C13,2
276,2013,日本,B64C25,2
277,2013,日本,B64C39,1
278,2013,日本,B64D13,1
279,2013,日本,B64D15,2
280,2013,日本,B64D41,10
281,2013,日本,C08F2,1
282,2013,日本,C08G59,1
283,2013,日本,C08J7,2
284,2013,日本,C08L79,1
285,2013,日本,F02C6,1
286,2013,日本,G01R31,1
287,2013,日本,G05D1,1
288,2013,日本,H02J5,2
289,2013,欧洲专利局,B05D1,2
290,2013,欧洲专利局,B32B15,2
291,2013,欧洲专利局,B60K6,3
292,2013,欧洲专利局,B60N2,2
293,2013,欧洲专利局,B60T13,2
294,2013,欧洲专利局,B60T8,2
295,2013,欧洲专利局,B64C1,2
296,2013,欧洲专利局,B64C13,1
297,2013,欧洲专利局,B64C19,3
298,2013,欧洲专利局,B64C25,7
299,2013,欧洲专利局,B64C27,5
300,2013,欧洲专利局,B64C29,1
301,2013,欧洲专利局,B64C31,7
302,2013,欧洲专利局,B64C39,2
303,2013,欧洲专利局,B64C9,2
304,2013,欧洲专利局,B64D13,1
305,2013,欧洲专利局,B64D15,13
306,2013,欧洲专利局,B64D27,4
307,2013,欧洲专利局,B64D31,8
308,2013,欧洲专利局,B64D41,10
309,2013,欧洲专利局,E05F15,1
310,2013,欧洲专利局,F02C7,2
311,2013,欧洲专利局,F02C9,2
312,2013,欧洲专利局,F02K1,1
313,2013,欧洲专利局,F02K3,3
314,2013,欧洲专利局,F03H99,1
315,2013,欧洲专利局,F21V29,2
316,2013,欧洲专利局,G01N27,2
317,2013,欧洲专利局,G01R27,1
318,2013,欧洲专利局,G05D1,1
319,2013,欧洲专利局,G08G5,3
320,2013,欧洲专利局,H02J3,3
321,2013,欧洲专利局,H02J7,3
322,2013,欧洲专利局,H02K7,2
323,2013,欧洲专利局,H02M7,6
324,2013,欧洲专利局,H02N1,1
325,2013,欧洲专利局,H02N3,2
326,2013,欧洲专利局,H04B3,2
327,2013,法国,B21J15,2
328,2013,法国,B23B39,1
329,2013,法国,B23B45,2
330,2013,法国,B60K6,2
331,2013,法国,B60L11,1
332,2013,法国,B64C1,2
333,2013,法国,B64C13,4
334,2013,法国,B64C25,6
335,2013,法国,B64D15,2
336,2013,法国,B64D25,2
337,2013,法国,B64D27,8
338,2013,法国,B64D33,4
339,2013,法国,B64D41,2
340,2013,法国,B64D43,2
341,2013,法国,F02K1,6
342,2013,法国,G05D13,2
343,2013,法国,G08B5,1
344,2013,法国,G08G5,2
345,2013,法国,H01B3,2
346,2013,法国,H01B7,1
347,2013,法国,H02G3,2
348,2013,法国,H02J7,2
349,2013,法国,H02P23,1
350,2013,波兰,B64C27,1
351,2013,波兰,B64F1,3
352,2013,波兰,H01B7,1
353,2013,澳大利亚,B64D15,2
354,2013,瑞典,B63B27,2
355,2013,瑞典,B64C35,1
356,2013,瑞士,F03D9,1
357,2013,白俄罗斯,B62D55,1
358,2013,白俄罗斯,B64C1,2
359,2013,白俄罗斯,B64D15,1
360,2013,白俄罗斯,B64F1,1
362,2013,美国,B08B3,1
363,2013,美国,B60K6,1
364,2013,美国,B60L1,2
365,2013,美国,B60L11,2
366,2013,美国,B60L58,1
367,2013,美国,B60R16,8
368,2013,美国,B60T17,1
369,2013,美国,B60T7,2
370,2013,美国,B60W10,1
371,2013,美国,B60W20,1
372,2013,美国,B64C1,1
373,2013,美国,B64C13,4
374,2013,美国,B64C19,5
375,2013,美国,B64C25,15
376,2013,美国,B64C27,3
377,2013,美国,B64C29,1
378,2013,美国,B64C3,3
379,2013,美国,B64C37,2
380,2013,美国,B64C39,1
381,2013,美国,B64D1,2
382,2013,美国,B64D13,1
383,2013,美国,B64D15,4
384,2013,美国,B64D25,2
385,2013,美国,B64D27,3
386,2013,美国,B64D29,2
387,2013,美国,B64D31,4
388,2013,美国,B64D33,3
389,2013,美国,B64D35,3
390,2013,美国,B64D39,1
391,2013,美国,B64D41,3
392,2013,美国,B64F5,2
393,2013,美国,E05F15,2
394,2013,美国,F01B21,1
395,2013,美国,F01B23,1
396,2013,美国,F01D5,1
397,2013,美国,F02C3,1
398,2013,美国,F02C6,1
399,2013,美国,F02C7,1
400,2013,美国,F02C9,1
401,2013,美国,F02G3,1
402,2013,美国,F02K7,1
403,2013,美国,F02N11,1
404,2013,美国,F04B17,1
405,2013,美国,F16D55,1
406,2013,美国,F16D65,2
407,2013,美国,F16H19,2
408,2013,美国,F16H48,1
409,2013,美国,F16H59,2
410,2013,美国,F16L3,2
411,2013,美国,F28F27,1
412,2013,美国,G01C23,1
413,2013,美国,G01R19,1
414,2013,美国,G05B13,1
415,2013,美国,G05D1,2
416,2013,美国,G05F1,2
417,2013,美国,G06F19,1
418,2013,美国,G08G5,2
419,2013,美国,H01B1,2
420,2013,美国,H01M8,1
421,2013,美国,H02H3,2
422,2013,美国,H02J1,1
423,2013,美国,H02J4,1
424,2013,美国,H02J5,1
425,2013,美国,H02J7,1
426,2013,美国,H02K23,1
427,2013,美国,H02K41,1
428,2013,美国,H02K7,2
429,2013,美国,H02K9,2
430,2013,美国,H02M3,1
431,2013,美国,H02M7,1
432,2013,美国,H05B3,1
433,2013,美国,H05K3,1
434,2013,美国,H05K7,1
436,2013,英国,B60L50,1
437,2013,英国,B60N3,2
438,2013,英国,B60T8,3
439,2013,英国,B60W20,2
440,2013,英国,B64D35,2
441,2013,英国,H02K5,2
442,2013,西班牙,A62C3,2
443,2013,西班牙,B60K6,2
444,2013,西班牙,B64C25,1
445,2013,西班牙,B64C31,1
446,2013,西班牙,B64C39,1
447,2013,西班牙,B64D15,1
448,2013,西班牙,B64D41,1
449,2013,西班牙,G01S1,1
450,2013,越南,B64F3,2
451,2013,韩国,B64C1,1
452,2013,韩国,B64D,1
453,2013,韩国,B64D39,1
454,2013,韩国,B64D41,1
455,2013,韩国,G01N,1
456,2013,韩国,H02N,1
458,2014,世界知识产权组织,B23Q1,1
459,2014,世界知识产权组织,B60L11,1
460,2014,世界知识产权组织,B60T8,1
461,2014,世界知识产权组织,B64C25,4
462,2014,世界知识产权组织,B64C27,2
463,2014,世界知识产权组织,B64C29,2
464,2014,世界知识产权组织,B64D15,1
465,2014,世界知识产权组织,B64D25,1
466,2014,世界知识产权组织,B64D27,2
467,2014,世界知识产权组织,B64D41,3
468,2014,世界知识产权组织,B64F1,3
469,2014,世界知识产权组织,E01D15,1
470,2014,世界知识产权组织,F02C6,2
471,2014,世界知识产权组织,F02K1,1
472,2014,世界知识产权组织,G01R31,1
473,2014,世界知识产权组织,H01Q1,1
474,2014,世界知识产权组织,H02K7,1
475,2014,世界知识产权组织,H02N11,1
476,2014,世界知识产权组织,H02P21,1
477,2014,中国,A01M7,1
478,2014,中国,A47F5,1
479,2014,中国,A63H27,5
480,2014,中国,B01J13,1
481,2014,中国,B05B13,1
482,2014,中国,B05B9,1
483,2014,中国,B21D7,1
484,2014,中国,B23K20,2
485,2014,中国,B60F5,3
486,2014,中国,B60L11,1
487,2014,中国,B60T13,4
488,2014,中国,B60T8,2
489,2014,中国,B61B13,1
490,2014,中国,B62H5,1
491,2014,中国,B62K15,2
492,2014,中国,B63B45,1
493,2014,中国,B63C9,1
494,2014,中国,B64,1
495,2014,中国,B64B1,7
496,2014,中国,B64C1,3
497,2014,中国,B64C11,1
498,2014,中国,B64C13,7
499,2014,中国,B64C25,14
500,2014,中国,B64C27,16
501,2014,中国,B64C29,3
502,2014,中国,B64C33,3
503,2014,中国,B64C39,8
504,2014,中国,B64D1,1
505,2014,中国,B64D11,1
506,2014,中国,B64D13,3
507,2014,中国,B64D15,3
508,2014,中国,B64D17,1
509,2014,中国,B64D25,2
510,2014,中国,B64D27,16
511,2014,中国,B64D3,1
512,2014,中国,B64D31,2
513,2014,中国,B64D35,1
514,2014,中国,B64D37,2
515,2014,中国,B64D41,3
516,2014,中国,B64D47,3
517,2014,中国,B64F1,13
518,2014,中国,B64F5,4
519,2014,中国,B64G1,2
520,2014,中国,C10G3,2
521,2014,中国,C10G45,2
522,2014,中国,C22C29,2
523,2014,中国,D05B69,1
524,2014,中国,E01C11,2
525,2014,中国,E02D1,1
526,2014,中国,E05F15,4
527,2014,中国,F01D11,1
528,2014,中国,F01D21,2
529,2014,中国,F02C7,3
530,2014,中国,F02K1,5
531,2014,中国,F02K3,2
532,2014,中国,F03B13,5
533,2014,中国,F03D9,2
534,2014,中国,F03G7,1
535,2014,中国,F04B41,1
536,2014,中国,F04D25,1
537,2014,中国,F16H37,2
538,2014,中国,F16M11,1
539,2014,中国,F21S8,2
540,2014,中国,F24F1,3
541,2014,中国,F24F11,1
542,2014,中国,F25B1,1
543,2014,中国,F41F1,1
544,2014,中国,F42B33,1
545,2014,中国,G01B7,2
546,2014,中国,G01C19,4
547,2014,中国,G01C21,2
548,2014,中国,G01D21,1
549,2014,中国,G01L9,2
550,2014,中国,G01M13,1
551,2014,中国,G01M3,2
552,2014,中国,G01M99,2
553,2014,中国,G01R19,2
554,2014,中国,G01R31,1
555,2014,中国,G05B19,4
556,2014,中国,G05D1,6
557,2014,中国,G06Q99,1
558,2014,中国,G06T5,1
559,2014,中国,G11B33,1
560,2014,中国,G21F7,1
561,2014,中国,H01B11,1
562,2014,中国,H01B7,1
563,2014,中国,H01B9,1
564,2014,中国,H01M10,2
565,2014,中国,H01M2,1
566,2014,中国,H01R13,1
567,2014,中国,H02G1,6
568,2014,中国,H02G3,1
569,2014,中国,H02J17,1
570,2014,中国,H02J50,1
571,2014,中国,H02J7,4
572,2014,中国,H02J9,3
573,2014,中国,H02K7,2
574,2014,中国,H02M7,1
575,2014,中国,H02P27,2
576,2014,中国,H02P9,1
577,2014,中国,H03K17,2
578,2014,中国,H03M1,2
579,2014,中国,H05B6,1
580,2014,中国,H05H1,1
581,2014,中国台湾,A63H27,1
582,2014,中国台湾,B64C19,1
583,2014,中国台湾,F03D9,1
584,2014,中国台湾,H02K35,2
585,2014,丹麦,B64C11,1
586,2014,乌克兰,F02K1,1
587,2014,乌克兰,G01C1,1
588,2014,乌克兰,G01S17,1
589,2014,乌克兰,G05D1,1
590,2014,乌克兰,H04Q1,1
592,2014,俄罗斯,B21D53,1
593,2014,俄罗斯,B60V1,1
594,2014,俄罗斯,B63B45,1
595,2014,俄罗斯,B64B1,1
596,2014,俄罗斯,B64C1,2
597,2014,俄罗斯,B64C13,2
598,2014,俄罗斯,B64C21,1
599,2014,俄罗斯,B64C27,4
600,2014,俄罗斯,B64C3,2
601,2014,俄罗斯,B64C33,1
602,2014,俄罗斯,B64D13,1
603,2014,俄罗斯,B64D15,1
604,2014,俄罗斯,B64D17,2
605,2014,俄罗斯,B64D25,1
606,2014,俄罗斯,B64D27,2
607,2014,俄罗斯,B64D35,1
608,2014,俄罗斯,B64D37,1
609,2014,俄罗斯,B64D41,3
610,2014,俄罗斯,B64D43,1
611,2014,俄罗斯,B64D45,2
612,2014,俄罗斯,B64F1,5
613,2014,俄罗斯,B64G1,2
614,2014,俄罗斯,B64G5,2
615,2014,俄罗斯,F01D9,1
616,2014,俄罗斯,F02B51,1
617,2014,俄罗斯,F02K1,2
618,2014,俄罗斯,F03D5,1
619,2014,俄罗斯,F03D9,1
620,2014,俄罗斯,F04D13,1
621,2014,俄罗斯,F15B9,1
622,2014,俄罗斯,F25B1,1
623,2014,俄罗斯,F41F3,1
624,2014,俄罗斯,F41G7,2
625,2014,俄罗斯,F41H13,2
626,2014,俄罗斯,F41H9,1
627,2014,俄罗斯,F41J9,1
628,2014,俄罗斯,G01C21,1
629,2014,俄罗斯,G01M13,1
630,2014,俄罗斯,G01M9,1
631,2014,俄罗斯,G01P3,1
632,2014,俄罗斯,G01R31,1
633,2014,俄罗斯,G01S13,1
634,2014,俄罗斯,G01W1,1
635,2014,俄罗斯,G04C3,1
636,2014,俄罗斯,G05D23,1
637,2014,俄罗斯,G06F15,2
638,2014,俄罗斯,G09B19,1
639,2014,俄罗斯,H01H47,2
640,2014,俄罗斯,H02J11,1
641,2014,俄罗斯,H02J4,1
642,2014,俄罗斯,H02J9,1
643,2014,俄罗斯,H02P9,1
644,2014,保加利亚,H02K1,1
645,2014,保加利亚,H02P27,1
646,2014,克罗地亚,B64D25,1
647,2014,加拿大,B60T8,2
648,2014,加拿大,B64C13,2
649,2014,加拿大,B64C15,2
650,2014,加拿大,B64C27,1
651,2014,加拿大,B64D15,1
652,2014,加拿大,B64D25,2
653,2014,加拿大,B64D41,3
654,2014,加拿大,B64F5,2
655,2014,加拿大,F02C7,1
656,2014,加拿大,H02P21,2
657,2014,南非,F28C,1
658,2014,印度,B64C11,1
659,2014,印度,B64D,1
660,2014,印度,B64D35,1
661,2014,印度,B64D45,2
662,2014,印度,C21D8,1
663,2014,印度,F02C7,1
664,2014,印度,F02N,1
665,2014,印度,F16H31,2
666,2014,印度尼西亚,B64C3,2
667,2014,土耳其,F16B31,3
668,2014,土耳其,H02J1,2
669,2014,土耳其,H02K1,2
670,2014,墨西哥,B64C13,1
671,2014,奥地利,B23Q1,1
672,2014,奥地利,B32B5,1
673,2014,奥地利,B60T8,3
674,2014,奥地利,B64C13,2
675,2014,奥地利,B64C25,2
676,2014,奥地利,B64C3,1
677,2014,奥地利,B64C9,1
678,2014,奥地利,B64D11,1
679,2014,奥地利,B64D15,1
680,2014,奥地利,B64D25,1
681,2014,奥地利,B64D27,3
682,2014,奥地利,B64D41,1
683,2014,奥地利,B64F1,4
684,2014,奥地利,F01D25,1
685,2014,奥地利,F02B65,1
686,2014,奥地利,F02K1,1
687,2014,奥地利,F03D1,1
688,2014,奥地利,F16D55,2
689,2014,奥地利,G05D1,1
690,2014,奥地利,G08B29,1
691,2014,奥地利,H01M10,1
692,2014,奥地利,H01Q1,1
693,2014,奥地利,H02J1,1
694,2014,奥地利,H02K17,1
696,2014,巴西,B32B15,1
697,2014,巴西,B60L11,1
698,2014,巴西,B64D27,1
699,2014,巴西,B64D41,2
700,2014,巴西,F02M27,1
701,2014,巴西,G05D1,1
702,2014,巴西,H02J4,1
703,2014,巴西,H02K19,1
704,2014,德国,B60T8,3
705,2014,德国,B64C1,1
706,2014,德国,B64C13,2
707,2014,德国,B64C25,2
708,2014,德国,B64C29,2
709,2014,德国,B64D11,2
710,2014,德国,B64D27,5
711,2014,德国,B64D31,1
712,2014,德国,B64D41,1
713,2014,德国,B64F1,1
714,2014,德国,C08L77,1
715,2014,德国,F02C7,1
716,2014,德国,F02K5,1
717,2014,德国,H01L31,1
718,2014,德国,H02K1,2
719,2014,德国,H02N11,1
721,2014,意大利,A63H27,1
722,2014,斯洛伐克,F02B47,2
724,2014,新加坡,B64C11,2
725,2014,新加坡,B64D27,2
726,2014,新加坡,B64F1,2
727,2014,日本,B32B7,2
728,2014,日本,B60P3,1
729,2014,日本,B63C11,2
730,2014,日本,B64C1,1
731,2014,日本,B64C27,1
732,2014,日本,B64C29,2
733,2014,日本,B64D27,2
734,2014,日本,B64D47,2
735,2014,日本,B64F3,1
736,2014,日本,C08F212,2
737,2014,日本,F15B20,3
738,2014,日本,H02P27,2
739,2014,欧亚专利局,B25B13,1
740,2014,欧亚专利局,B64G1,2
741,2014,欧亚专利局,G01R31,1
742,2014,欧亚专利局,H02S30,1
743,2014,欧洲专利局,A62C3,2
744,2014,欧洲专利局,B23Q1,2
745,2014,欧洲专利局,B32B5,1
746,2014,欧洲专利局,B60L11,1
747,2014,欧洲专利局,B60T8,9
748,2014,欧洲专利局,B64C1,1
749,2014,欧洲专利局,B64C11,1
750,2014,欧洲专利局,B64C13,2
751,2014,欧洲专利局,B64C25,4
752,2014,欧洲专利局,B64C27,1
753,2014,欧洲专利局,B64C29,5
754,2014,欧洲专利局,B64C3,2
755,2014,欧洲专利局,B64C9,2
756,2014,欧洲专利局,B64D11,2
757,2014,欧洲专利局,B64D15,2
758,2014,欧洲专利局,B64D25,2
759,2014,欧洲专利局,B64D27,7
760,2014,欧洲专利局,B64D31,1
761,2014,欧洲专利局,B64D33,4
762,2014,欧洲专利局,B64D41,3
763,2014,欧洲专利局,B64F1,8
764,2014,欧洲专利局,E01D15,3
765,2014,欧洲专利局,F01D25,2
766,2014,欧洲专利局,F02B65,1
767,2014,欧洲专利局,F02K1,2
768,2014,欧洲专利局,F02K3,2
769,2014,欧洲专利局,F03D1,1
770,2014,欧洲专利局,F16D55,5
771,2014,欧洲专利局,G05D1,1
772,2014,欧洲专利局,G08B29,2
773,2014,欧洲专利局,H01M10,1
774,2014,欧洲专利局,H01Q1,2
775,2014,欧洲专利局,H02J1,1
776,2014,欧洲专利局,H02J4,2
777,2014,欧洲专利局,H02K17,2
778,2014,法国,B23B49,1
779,2014,法国,B60K7,4
780,2014,法国,B60T8,2
781,2014,法国,B64C25,12
782,2014,法国,B64C27,2
783,2014,法国,B64D13,2
784,2014,法国,B64D15,2
785,2014,法国,B64D31,2
786,2014,法国,B64D33,3
787,2014,法国,B64D35,2
788,2014,法国,B64D41,2
789,2014,法国,F01D25,2
790,2014,法国,F02C7,5
791,2014,法国,F16D65,2
792,2014,法国,F16H3,2
793,2014,法国,F24F11,2
794,2014,法国,G06F17,2
795,2014,法国,H01H33,2
796,2014,法国,H01M8,1
797,2014,法国,H02B1,2
798,2014,法国,H02G3,2
799,2014,法国,H02J1,2
800,2014,法国,H02P6,4
801,2014,波兰,B60T8,2
802,2014,波兰,B64C3,1
803,2014,澳大利亚,B64C27,1
804,2014,澳大利亚,H02J7,2
805,2014,瑞士,H02K35,1
806,2014,白俄罗斯,H02K19,1
807,2014,罗马尼亚,F02G1,1
808,2014,罗马尼亚,F41G7,1
810,2014,美国,B01D46,1
811,2014,美国,B23Q1,1
812,2014,美国,B60K6,1
813,2014,美国,B60L1,1
814,2014,美国,B60L11,5
815,2014,美国,B60T13,3
816,2014,美国,B60T17,2
817,2014,美国,B60T8,5
818,2014,美国,B63H1,1
819,2014,美国,B64C1,2
820,2014,美国,B64C13,2
821,2014,美国,B64C25,21
822,2014,美国,B64C27,3
823,2014,美国,B64C29,5
824,2014,美国,B64D11,2
825,2014,美国,B64D13,2
826,2014,美国,B64D25,1
827,2014,美国,B64D27,9
828,2014,美国,B64D31,1
829,2014,美国,B64D35,1
830,2014,美国,B64D37,1
831,2014,美国,B64D41,4
832,2014,美国,B64D45,2
833,2014,美国,B64D47,2
834,2014,美国,B64F1,7
835,2014,美国,E01D15,3
836,2014,美国,E05D15,1
837,2014,美国,E05F15,1
838,2014,美国,F01D17,1
839,2014,美国,F01D5,1
840,2014,美国,F01N3,1
841,2014,美国,F02C6,2
842,2014,美国,F02C7,6
843,2014,美国,F02K1,4
844,2014,美国,F02K7,2
845,2014,美国,F04B35,2
846,2014,美国,F04D29,1
