,Feature,Coefficients (B)
0,申请日,0.03137448604742685
1,公开(公告)日,0.3243345115469537
2,诉讼案件数,-0.17351555887396192
3,非专利引用文献数量,0.005316985518611978
4,被引用专利数量,-0.0
5,发明人数量,-0.005585972976466549
6,简单同族专利申请数量,1.3794493567566926
7,简单同族被引用专利总数,-0.1613016033745476
8,3年内被引用次数,0.003724141544010847
9,5年内被引用次数,-0.0
10,PatSnap同族被引用专利总数,0.44682081653133493
11,Patsnap同族专利申请数量,5.7953048478441715
12,引用专利数量,0.0608416499646174
13,当前申请(专利权)人数量,0.0017656667351142955
